2010-07-11T00:00:00.949789,237427159.988607,0.0000006.749274
2010-07-11T00:00:02.016456,237427161.055273,0.0000006.744391
2010-07-11T00:00:03.083122,237427162.121940,0.0000006.748053
2010-07-11T00:00:04.149789,237427163.188607,0.0000006.727301
2010-07-11T00:00:05.216456,237427164.255273,0.0000006.717536
2010-07-11T00:00:06.283123,237427165.321940,0.0000006.717536
2010-07-11T00:00:07.349790,237427166.388607,0.0000006.738288
2010-07-11T00:00:08.416456,237427167.455273,0.0000006.696784
2010-07-11T00:00:09.483123,237427168.521940,0.0000006.672370
2010-07-11T00:00:10.549790,237427169.588607,0.0000006.745612
2010-07-11T00:00:11.616457,237427170.655273,0.0000006.783454
2010-07-11T00:00:12.683123,237427171.721940,0.0000006.776129
2010-07-11T00:00:13.749790,237427172.788607,0.0000006.751715
2010-07-11T00:00:14.816457,237427173.855273,0.0000006.722418
2010-07-11T00:00:15.883124,237427174.921940,0.0000006.746833
2010-07-11T00:00:16.949790,237427175.988607,0.0000006.698004
2010-07-11T00:00:18.016457,237427177.055273,0.0000006.701666
2010-07-11T00:00:19.083124,237427178.121940,0.0000006.696784
2010-07-11T00:00:20.149791,237427179.188607,0.0000006.667487
2010-07-11T00:00:21.216457,237427180.255273,0.0000006.643073
2010-07-11T00:00:22.283124,237427181.321940,0.0000006.684577
2010-07-11T00:00:23.349791,237427182.388607,0.0000006.730963
2010-07-11T00:00:24.416458,237427183.455273,0.0000006.761481
