% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
25250.173401   -9.749 
25250.373397   -9.835 
25250.573392   -9.954 
25250.773387  -10.053 
25250.973382  -10.136 
25251.173378  -10.243 
25251.373373  -10.256 
25251.573368  -10.153 
25251.773363   -9.975 
25251.973358   -9.867 
25252.173354   -9.708 
25252.373349   -9.814 
25252.573344   -9.996 
25252.773340  -10.113 
25252.973335  -10.312 
25253.173330  -10.360 
25253.373325  -10.423 
25253.573320  -10.352 
25253.773315  -10.159 
25253.973310  -10.038 
25254.173306   -9.800 
25254.373301   -9.789 
25254.573296   -9.839 
25254.773292   -9.971 
25254.973287  -10.067 
25255.173282  -10.172 
25255.373277  -10.281 
25255.573272  -10.325 
25255.773268  -10.235 
25255.973263  -10.053 
25256.173258   -9.961 
25256.373253   -9.777 
25256.573249   -9.879 
25256.773244  -10.053 
25256.973239  -10.172 
25257.173234  -10.350 
25257.373230  -10.398 
25257.573225  -10.442 
25257.773220  -10.379 
25257.973215  -10.191 
25258.173210  -10.057 
25258.373206   -9.797 
25258.573200   -9.751 
25258.773196   -9.814 
25258.973191   -9.963 
25259.173186  -10.038 
25259.373181  -10.138 
25259.573177  -10.254 
25259.773172  -10.291 
25259.973167  -10.208 
25260.173162  -10.009 
25260.373158   -9.927 
25260.573153   -9.726 
25260.773148   -9.841 
25260.973143  -10.021 
25261.173138  -10.136 
25261.373134  -10.341 
25261.573129  -10.379 
25261.773124  -10.446 
25261.973119  -10.394 
25262.173115  -10.222 
25262.373110  -10.065 
25262.573105   -9.825 
25262.773100   -9.741 
25262.973096   -9.802 
25263.173091   -9.948 
25263.373086  -10.017 
25263.573081  -10.126 
25263.773077  -10.231 
25263.973072  -10.256 
25264.173067  -10.178 
25264.373062   -9.971 
25264.573056   -9.892 
25264.773052   -9.670 
25264.973047   -9.785 
25265.173042   -9.954 
25265.373037  -10.065 
25265.573032  -10.256 
25265.773028  -10.285 
25265.973023  -10.371 
25266.173018  -10.327 
25266.373013  -10.157 
25266.573009  -10.028 
25266.773004   -9.787 
25266.972999   -9.697 
25267.172994   -9.728 
25267.372989   -9.879 
25267.572985   -9.948 
25267.772980  -10.059 
25267.972975  -10.155 
25268.172970  -10.210 
25268.372966  -10.149 
25268.572961   -9.933 
25268.772956   -9.871 
25268.972951   -9.634 
25269.172946   -9.745 
