% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
26074.174607     -1.243e+01
26078.174607     -1.200e+01
26082.174607     -1.195e+01
26086.174607     -1.300e+01
26090.174607     -1.420e+01
26094.174607     -1.415e+01
26098.174607     -1.258e+01
26102.174607     -1.202e+01
26106.174607     -1.193e+01
26110.174607     -1.172e+01
26114.174607     -1.186e+01
26118.174607     -1.141e+01
26122.174607     -1.144e+01
26126.174607     -1.184e+01
26130.174607     -1.189e+01
26134.174607     -1.180e+01
26138.174607     -1.196e+01
26142.174607     -1.209e+01
26146.174607     -1.143e+01
26150.174607     -1.149e+01
26154.174607     -1.106e+01
26158.174607     -1.144e+01
26162.174607     -1.232e+01
26166.174607     -1.327e+01
26170.174607     -1.356e+01
26174.174607     -1.351e+01
26178.174607     -1.297e+01
26182.174607     -1.342e+01
26186.174607     -1.385e+01
26190.174607     -1.398e+01
26194.174607     -1.427e+01
26198.174607     -1.381e+01
26202.174607     -1.382e+01
26206.174607     -1.506e+01
26210.174607     -1.532e+01
26214.174607     -1.486e+01
26218.174607     -1.271e+01
26222.174607     -1.309e+01
26226.174607     -1.305e+01
26230.174607     -1.389e+01
26234.174607     -1.378e+01
26238.174607     -1.279e+01
26242.174607     -1.302e+01
26246.174607     -1.420e+01
26250.174607     -1.449e+01
26254.174607     -1.453e+01
26258.174607     -1.559e+01
26262.174607     -1.578e+01
26266.174607     -1.528e+01
26270.174607     -1.577e+01
26274.174607     -1.613e+01
26278.174607     -1.640e+01
26282.174607     -1.754e+01
26286.174607     -1.746e+01
26290.174607     -1.763e+01
26294.174607     -1.689e+01
26298.174607     -1.743e+01
26302.174607     -1.646e+01
26306.174607     -1.388e+01
26310.174607     -1.351e+01
26314.174607     -1.417e+01
26318.174607     -1.428e+01
26322.174607     -1.417e+01
26326.174607     -1.398e+01
26330.174607     -1.373e+01
26334.174607     -1.403e+01
26338.174607     -1.312e+01
26342.174607     -1.280e+01
26346.174607     -1.347e+01
26350.174607     -1.329e+01
26354.174607     -1.246e+01
26358.174607     -1.245e+01
26362.174607     -1.267e+01
26366.174607     -1.286e+01
26370.174607     -1.315e+01
26374.174607     -1.346e+01
